PhoneName,Price,RAM_ROM,Display,Battery,Processor,Stars,Ratings Count,Reviews Count
"realme P1 5G (Phoenix Red, 128 GB)","₹15,999",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,Dimensity 7050 Processor,4.4,583,76
"vivo T3x 5G (Crimson Bliss, 128 GB)","₹14,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.07 cm (6.72 inch) Full HD+ Display,6000 mAh Battery,6 Gen 1 Processor,4.4,583,76
"Motorola G34 5G (Ocean Green, 128 GB)","₹11,999",8 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) HD+ Display,5000 mAh Battery,Snapdragon 695 5G Processor,4.4,583,76
"Motorola G34 5G (Charcoal Black, 128 GB)","₹11,999",8 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) HD+ Display,5000 mAh Battery,Snapdragon 695 5G Processor,4.4,583,76
"Motorola G34 5G (Ice Blue, 128 GB)","₹11,999",8 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) HD+ Display,5000 mAh Battery,Snapdragon 695 5G Processor,4.4,583,76
"POCO C51 - Locked with Airtel Prepaid (Power Black, 64 GB)","₹4,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.56 cm (6.52 inch) HD+ Display,5000 mAh Battery,Helio G36 Processor,4.4,583,76
"realme P1 Pro 5G (Phoenix Red, 256 GB)","₹22,999",8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,6 Gen 1 Processor,4.4,583,76
"Nothing Phone (2a) 5G (White, 128 GB)","₹23,999",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,Dimensity 7200 Pro Processor,4.4,583,76
"Apple iPhone 15 (Black, 128 GB)","₹65,999",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,"A16 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,4.4,583,76
"POCO M6 Pro 5G (Forest Green, 128 GB)","₹10,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,5000 mAh Battery,Snapdragon 4 Gen 2 Processor,4.4,583,76
"MOTOROLA g24 Power (Ink blue, 128 GB)","₹7,999",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) HD+ Display,6000 mAh Battery,Helio G85 Processor,4.4,583,76
"REDMI 13C (Starshine Green, 128 GB)","₹7,699",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,5000 mAh Battery,Helio G85 Processor,4.4,583,76
"Motorola Edge 40 Neo (Caneel Bay, 256 GB)","₹24,999",12 GB RAM | 256 GB ROM,16.64 cm (6.55 inch) Full HD+ Display,5000 mAh Battery,Dimensity 7030 Processor,4.4,583,76
"MOTOROLA g24 Power (Glacier Blue, 128 GB)","₹8,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) HD+ Display,6000 mAh Battery,Helio G85 Processor,4.4,583,76
"MOTOROLA g24 Power (Ink blue, 128 GB)","₹8,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) HD+ Display,6000 mAh Battery,Helio G85 Processor,4.4,583,76
"REDMI 13C (Stardust Black, 128 GB)","₹7,699",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,5000 mAh Battery,Helio G85 Processor,4.4,583,76
"MOTOROLA G04 (Sea Green, 128 GB)","₹7,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,Unisoc T606 Processor,4.4,583,76
"Motorola Edge 40 Neo (Soothing Sea, 256 GB)","₹24,999",12 GB RAM | 256 GB ROM,16.64 cm (6.55 inch) Full HD+ Display,5000 mAh Battery,Dimensity 7030 Processor,4.4,583,76
"Motorola G34 5G (Ocean Green, 128 GB)","₹10,999",4 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) HD+ Display,5000 mAh Battery,Snapdragon 695 5G Processor,4.4,583,76
"POCO C65 (Pastel Blue, 128 GB)","₹7,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,5000 mAh Battery,Helio G85 Processor,4.4,583,76
"REDMI 13C (Starfrost White, 128 GB)","₹7,699",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,5000 mAh Battery,Helio G85 Processor,4.4,583,76
"POCO M6 Pro 5G (Power Black, 128 GB)","₹10,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,5000 mAh Battery,Snapdragon 4 Gen 2 Processor,4.4,583,76
"Motorola Edge 40 Neo (Black Beauty, 256 GB)","₹24,999",12 GB RAM | 256 GB ROM,16.64 cm (6.55 inch) Full HD+ Display,5000 mAh Battery,Dimensity 7030 Processor,4.4,583,76
"MOTOROLA G04 (Satin Blue, 64 GB)","₹6,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,Unisoc T606 Processor,4.4,583,76
"Motorola G34 5G (Ocean Green, 128 GB)","₹10,999",4 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) HD+ Display,5000 mAh Battery,Snapdragon 695 5G Processor,4.2,"23,082","2,282"
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)","₹17,475",8 GB RAM | 128 GB ROM,17.07 cm (6.72 inch) Display,5000 mAh Battery,Domestic Warranty of 12 months on phone & 6 months on accessories,4.2,"23,082","2,282"
"realme P1 5G (Phoenix Red, 128 GB)","₹15,999",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,Dimensity 7050 Processor,4.2,"23,082","2,282"
"vivo T3x 5G (Celestial Green, 128 GB)","₹13,499",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.07 cm (6.72 inch) Full HD+ Display,6000 mAh Battery,6 Gen 1 Processor,4.2,"23,082","2,282"
"MOTOROLA G04 (Satin Blue, 64 GB)","₹6,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,Unisoc T606 Processor,4.2,"23,082","2,282"
"REDMI 13C (Starfrost White, 128 GB)","₹7,699",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,5000 mAh Battery,Helio G85 Processor,4.2,"23,082","2,282"
"realme P1 Pro 5G (Phoenix Red, 256 GB)","₹22,999",8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,6 Gen 1 Processor,4.2,"23,082","2,282"
"Nothing Phone (2a) 5G (White, 128 GB)","₹23,999",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,Dimensity 7200 Pro Processor,4.2,"23,082","2,282"
"Motorola g84 5G (Marshmallow Blue, 256 GB)","₹17,999",12 GB RAM | 256 GB ROM,16.64 cm (6.55 inch) Full HD+ Display,5000 mAh Battery,Snapdragon 695 Processor,4.2,"23,082","2,282"
"MOTOROLA G04 (Concord Black, 128 GB)","₹7,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,Unisoc T606 Processor,4.2,"23,082","2,282"
"POCO C65 (Pastel Green, 128 GB)","₹7,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,5000 mAh Battery,Helio G85 Processor,4.2,"23,082","2,282"
"POCO C65 (Pastel Blue, 128 GB)","₹7,299",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,5000 mAh Battery,Helio G85 Processor,4.2,"23,082","2,282"
"MOTOROLA G04 (Sunrise Orange, 64 GB)","₹6,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,Unisoc T606 Processor,4.2,"23,082","2,282"
"Motorola Edge 40 Neo (Black Beauty, 256 GB)","₹24,999",12 GB RAM | 256 GB ROM,16.64 cm (6.55 inch) Full HD+ Display,5000 mAh Battery,Dimensity 7030 Processor,4.2,"23,082","2,282"
"vivo T2x 5G (Glimmer Black, 128 GB)","₹14,990",6 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,5000 mAh Battery,Mediatek Dimensity 6020 Processor,4.2,"23,082","2,282"
"REDMI 13C (Stardust Black, 128 GB)","₹8,699",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,5000 mAh Battery,Helio G85 Processor,4.2,"23,082","2,282"
"POCO C65 (Matte Black, 128 GB)","₹7,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,5000 mAh Battery,Helio G85 Processor,4.2,"23,082","2,282"
"Motorola G34 5G (Charcoal Black, 128 GB)","₹10,999",4 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) HD+ Display,5000 mAh Battery,Snapdragon 695 5G Processor,4.2,"23,082","2,282"
"POCO M6 5G (Orion Blue, 128 GB)","₹10,499",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,5000 mAh Battery,Mediatek Dimensity 6100+ Processor,4.2,"23,082","2,282"
"MOTOROLA G04 (Satin Blue, 128 GB)","₹7,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,Unisoc T606 Processor,4.2,"23,082","2,282"
"Motorola G34 5G (Ice Blue, 128 GB)","₹10,999",4 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) HD+ Display,5000 mAh Battery,Snapdragon 695 5G Processor,4.2,"23,082","2,282"
"Motorola g84 5G (Viva Magenta, 256 GB)","₹17,999",12 GB RAM | 256 GB ROM,16.64 cm (6.55 inch) Full HD+ Display,5000 mAh Battery,Snapdragon 695 Processor,4.2,"23,082","2,282"
"POCO M6 Pro 5G (Power Black, 256 GB)","₹12,499",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,5000 mAh Battery,Snapdragon 4 Gen 2 Processor,4.2,"23,082","2,282"
"Apple iPhone 15 (Green, 128 GB)","₹65,999",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,"A16 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,4.2,"23,082","2,282"
"POCO M6 5G (Orion Blue, 128 GB)","₹10,499",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,5000 mAh Battery,Mediatek Dimensity 6100+ Processor,4.3,"14,286",947
"Motorola G34 5G (Ice Blue, 128 GB)","₹10,999",4 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) HD+ Display,5000 mAh Battery,Snapdragon 695 5G Processor,4.3,"14,286",947
"realme P1 5G (Phoenix Red, 128 GB)","₹15,999",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,Dimensity 7050 Processor,4.3,"14,286",947
"vivo T3x 5G (Crimson Bliss, 128 GB)","₹14,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.07 cm (6.72 inch) Full HD+ Display,6000 mAh Battery,6 Gen 1 Processor,4.3,"14,286",947
"Apple iPhone 15 (Blue, 128 GB)","₹65,999",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,"A16 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,4.3,"14,286",947
"vivo T2x 5G (Glimmer Black, 128 GB)","₹14,990",6 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,5000 mAh Battery,Mediatek Dimensity 6020 Processor,4.3,"14,286",947
"Motorola Edge 40 Neo (Black Beauty, 128 GB)","₹22,999",8 GB RAM | 128 GB ROM,16.64 cm (6.55 inch) Full HD+ Display,5000 mAh Battery,Dimensity 7030 Processor,4.3,"14,286",947
"Motorola g84 5G (Midnight Blue, 256 GB)","₹17,999",12 GB RAM | 256 GB ROM,16.64 cm (6.55 inch) Full HD+ Display,5000 mAh Battery,Snapdragon 695 Processor,4.3,"14,286",947
"realme P1 Pro 5G (Phoenix Red, 256 GB)","₹22,999",8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,6 Gen 1 Processor,4.3,"14,286",947
"Nothing Phone (2a) 5G (White, 128 GB)","₹23,999",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,Dimensity 7200 Pro Processor,4.3,"14,286",947
"MOTOROLA g24 Power (Glacier Blue, 128 GB)","₹7,999",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) HD+ Display,6000 mAh Battery,Helio G85 Processor,4.3,"14,286",947
"MOTOROLA G04 (Concord Black, 64 GB)","₹6,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,Unisoc T606 Processor,4.3,"14,286",947
"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)","₹9,490",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,6000 mAh Battery,"Exynos 1330, Octa Core Processor",4.3,"14,286",947
"Infinix SMART 8 (Rainbow Blue, 64 GB)","₹7,199",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,Helio G36 Processor,4.3,"14,286",947
"Infinix SMART 8 (Shiny Gold, 128 GB)","₹8,299",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,Helio G36 Processor,4.3,"14,286",947
"Infinix SMART 8 (Galaxy White, 128 GB)","₹8,299",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,Helio G36 Processor,4.3,"14,286",947
"Infinix SMART 8 (Shiny Gold, 64 GB)","₹7,199",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,Helio G36 Processor,4.3,"14,286",947
"Infinix SMART 8 (Rainbow Blue, 128 GB)","₹8,299",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,Helio G36 Processor,4.3,"14,286",947
LAVA A1 Josh BOL Keypad Mobile|1000 mAh Battery|Expandable Storage 32GB,₹930,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,4.5 cm (1.77 inch) Quarter QVGA Display,1 Year Manufacturer Replacement Guarantee for Phone and 6 months Replacement for Accessories in the Box,,4.3,"14,286",947
"Infinix SMART 8 HD (Crystal Green, 64 GB)","₹6,499",3 GB RAM | 64 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,T606 Processor,4.3,"14,286",947
"Apple iPhone 15 (Green, 128 GB)","₹65,999",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,"A16 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,4.3,"14,286",947
"Infinix SMART 8 (Galaxy White, 64 GB)","₹7,199",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,Helio G36 Processor,4.3,"14,286",947
"vivo T2x 5G (Glimmer Black, 128 GB)","₹11,999",4 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,5000 mAh Battery,Mediatek Dimensity 6020 Processor,4.3,"14,286",947
"vivo T2x 5G (Aurora Gold, 128 GB)","₹12,999",6 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,5000 mAh Battery,Mediatek Dimensity 6020 Processor,4.3,"14,286",947
"Infinix SMART 8 HD (Galaxy White, 64 GB)","₹6,499",3 GB RAM | 64 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,T606 Processor,4.3,"25,330","2,053"
"Infinix SMART 8 (Galaxy White, 64 GB)","₹7,199",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,Helio G36 Processor,4.3,"25,330","2,053"
"POCO M6 5G - Locked with Airtel Prepaid (Galactic Black, 128 GB)","₹8,599",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,5000 mAh Battery,Mediatek Dimensity 6100+ Processor,4.3,"25,330","2,053"
"Apple iPhone 15 (Pink, 128 GB)","₹65,999",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,"A16 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,4.3,"25,330","2,053"
"realme P1 5G (Peacock Green, 128 GB)","₹15,999",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,Dimensity 7050 Processor,4.3,"25,330","2,053"
"vivo T3x 5G (Celestial Green, 128 GB)","₹13,499",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.07 cm (6.72 inch) Full HD+ Display,6000 mAh Battery,6 Gen 1 Processor,4.3,"25,330","2,053"
"vivo T2 Pro 5G (Dune Gold, 128 GB)","₹23,999",8 GB RAM | 128 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,4600 mAh Battery,Dimensity 7200 Processor,4.3,"25,330","2,053"
"Motorola Edge 40 Neo (Black Beauty, 128 GB)","₹22,999",8 GB RAM | 128 GB ROM,16.64 cm (6.55 inch) Full HD+ Display,5000 mAh Battery,Dimensity 7030 Processor,4.3,"25,330","2,053"
"realme P1 Pro 5G (Phoenix Red, 256 GB)","₹22,999",8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,6 Gen 1 Processor,4.3,"25,330","2,053"
"Nothing Phone (2a) 5G (White, 128 GB)","₹23,999",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,Dimensity 7200 Pro Processor,4.3,"25,330","2,053"
"realme C53 (Champion Gold, 64 GB)","₹10,999",6 GB RAM | 64 GB ROM | Expandable Upto 2 TB,17.12 cm (6.74 inch) HD Display,5000 mAh Battery,T612 Processor,4.3,"25,330","2,053"
"vivo T3 5G (Crystal Flake, 128 GB)","₹19,999",8 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,Dimensity 7200 Processor,4.3,"25,330","2,053"
"vivo T3 5G (Cosmic Blue, 256 GB)","₹21,999",8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,Dimensity 7200 Processor,4.3,"25,330","2,053"
"vivo T3 5G (Crystal Flake, 256 GB)","₹21,999",8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,Dimensity 7200 Processor,4.3,"25,330","2,053"
"realme 12x 5G (Woodland Green, 128 GB)","₹13,499",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.07 cm (6.72 inch) Full HD+ Display,5000 mAh Battery,Dimensity 6100+ Processor,4.3,"25,330","2,053"
"realme 12x 5G (Twilight Purple, 128 GB)","₹13,499",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.07 cm (6.72 inch) Full HD+ Display,5000 mAh Battery,Dimensity 6100+ Processor,4.3,"25,330","2,053"
"POCO C65 (Matte Black, 256 GB)","₹8,999",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,5000 mAh Battery,Helio G85 Processor,4.3,"25,330","2,053"
