PhoneName,Price,RAM_ROM,Display,Battery,Processor,Stars,Ratings Count,Reviews Count
"POCO M6 5G (Orion Blue, 256 GB)","₹11,999",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,5000 mAh Battery,Mediatek Dimensity 6100+ Processor,4.3,"25,330","2,053"
"Infinix SMART 8 (Rainbow Blue, 128 GB)","₹8,299",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,Helio G36 Processor,4.3,"25,330","2,053"
"Infinix SMART 8 (Rainbow Blue, 64 GB)","₹7,199",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,Helio G36 Processor,4.3,"25,330","2,053"
"Infinix SMART 8 (Shiny Gold, 128 GB)","₹8,299",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,Helio G36 Processor,4.3,"25,330","2,053"
"Infinix SMART 8 (Galaxy White, 128 GB)","₹8,299",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,Helio G36 Processor,4.3,"25,330","2,053"
"Infinix SMART 8 (Shiny Gold, 64 GB)","₹7,199",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,Helio G36 Processor,4.3,"25,330","2,053"
"realme 12x 5G (Woodland Green, 128 GB)","₹14,999",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.07 cm (6.72 inch) Full HD+ Display,5000 mAh Battery,Dimensity 6100+ Processor,4.3,"25,330","2,053"
"realme C51 (Mint Green, 64 GB)","₹7,999",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,17.12 cm (6.74 inch) HD Display,5000 mAh Battery,T612 Processor,4.3,"78,537","3,497"
"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","₹1,199",32 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) Display,1000 mAh Battery,SC6531E Processor,4.3,"78,537","3,497"
"realme C51 (Carbon Black, 64 GB)","₹7,999",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,17.12 cm (6.74 inch) HD Display,5000 mAh Battery,T612 Processor,4.3,"78,537","3,497"
"REDMI 12 5G (Pastel Blue, 128 GB)","₹12,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,5000 mAh Battery,Snapdragon 4 Gen 2 Processor,4.3,"78,537","3,497"
"Infinix SMART 8 (Timber Black, 64 GB)","₹7,199",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,Helio G36 Processor,4.3,"78,537","3,497"
"Infinix SMART 8 (Timber Black, 128 GB)","₹8,299",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,Helio G36 Processor,4.3,"78,537","3,497"
"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","₹1,249",32 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) Display,1000 mAh Battery,SC6531E Processor,4.3,"78,537","3,497"
"Motorola g54 5G (Mint Green, 128 GB)","₹14,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,6000 mAh Battery,Dimensity 7020 Processor,4.3,"78,537","3,497"
"OnePlus Nord CE4 (Dark Chrome, 256 GB)","₹26,723",8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Display,5500 mAh Battery,OxygenOS 14.0 Processor,4.3,"78,537","3,497"
"POCO C65 (Pastel Blue, 256 GB)","₹8,999",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,5000 mAh Battery,Helio G85 Processor,4.3,"78,537","3,497"
"realme P1 5G (Peacock Green, 128 GB)","₹15,999",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,Dimensity 7050 Processor,4.3,"78,537","3,497"
"Infinix SMART 8 HD (Crystal Green, 64 GB)","₹6,499",3 GB RAM | 64 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,T606 Processor,4.3,"78,537","3,497"
"POCO M6 5G (Galactic Black, 256 GB)","₹11,999",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,5000 mAh Battery,Mediatek Dimensity 6100+ Processor,4.3,"78,537","3,497"
"POCO C51 - Locked with Airtel Prepaid (Royal Blue, 64 GB)","₹4,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.56 cm (6.52 inch) HD+ Display,5000 mAh Battery,Helio G36 Processor,4.3,"78,537","3,497"
"realme P1 5G (Peacock Green, 256 GB)","₹18,999",8 GB RAM | 256 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,Dimensity 7050 Processor,4.3,"78,537","3,497"
"realme C53 (Champion Gold, 128 GB)","₹9,499",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.12 cm (6.74 inch) HD Display,5000 mAh Battery,T612 Processor,4.3,"78,537","3,497"
Nokia 105 Classic without Charger,₹999,32 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) Display,800 mAh Battery,SC6531E Processor,4.3,"78,537","3,497"
"realme C53 (Champion Black, 128 GB)","₹9,499",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.12 cm (6.74 inch) HD Display,5000 mAh Battery,T612 Processor,4.3,"78,537","3,497"
"SAMSUNG Galaxy M14 5G (Icy Silver, 128 GB)","₹12,108",6 GB RAM | 128 GB ROM,16.76 cm (6.6 inch) Display,6000 mAh Battery,1 year,4.3,"78,537","3,497"
"SAMSUNG Galaxy F15 5G (Ash Black, 128 GB)","₹14,499",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,6000 mAh Lithium ion Battery,MediaTek Dimensity 6100+ Processor,4.3,"78,537","3,497"
"REDMI 12 5G (Moonstone Silver, 128 GB)","₹12,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,5000 mAh Battery,Snapdragon 4 Gen 2 Processor,4.3,"78,537","3,497"
"POCO X6 Neo 5G (Martian Orange, 128 GB)","₹15,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,Dimensity 6080 Processor,4.3,"78,537","3,497"
"Infinix SMART 8 HD (Shiny Gold, 64 GB)","₹6,499",3 GB RAM | 64 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,T606 Processor,4.3,"78,537","3,497"
"Infinix SMART 8 HD (Timber Black, 64 GB)","₹6,499",3 GB RAM | 64 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,T606 Processor,4.3,"78,537","3,497"
"Nothing Phone (2a) 5G (White, 128 GB)","₹23,999",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,Dimensity 7200 Pro Processor,4.4,"19,732","2,894"
"realme C51 (Mint Green, 128 GB)","₹9,499",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.12 cm (6.74 inch) HD Display,5000 mAh Battery,T612 Processor,4.4,"19,732","2,894"
"realme C51 (Mint Green, 64 GB)","₹7,999",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,17.12 cm (6.74 inch) HD Display,5000 mAh Battery,T612 Processor,4.4,"19,732","2,894"
"realme C51 (Carbon Black, 64 GB)","₹7,999",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,17.12 cm (6.74 inch) HD Display,5000 mAh Battery,T612 Processor,4.4,"19,732","2,894"
"vivo T2 Pro 5G (New Moon Black, 256 GB)","₹24,999",8 GB RAM | 256 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,4600 mAh Battery,Dimensity 7200 Processor,4.4,"19,732","2,894"
"POCO C65 (Pastel Blue, 256 GB)","₹8,999",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,5000 mAh Battery,Helio G85 Processor,4.4,"19,732","2,894"
"vivo T2 Pro 5G (New Moon Black, 128 GB)","₹23,999",8 GB RAM | 128 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,4600 mAh Battery,Dimensity 7200 Processor,4.4,"19,732","2,894"
"vivo T2 Pro 5G (Dune Gold, 128 GB)","₹23,999",8 GB RAM | 128 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,4600 mAh Battery,Dimensity 7200 Processor,4.4,"19,732","2,894"
"OnePlus Nord CE4 (Celadon Marble, 256 GB)","₹26,897",8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Display,5500 mAh Battery,OxygenOS 14.0 Processor,4.4,"19,732","2,894"
"Motorola Edge 50 Pro 5G with 125W Charger (Luxe Lavender, 256 GB)","₹35,999",12 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Display,4500 mAh Battery,7 Gen 3 Mobile Platform Processor,4.4,"19,732","2,894"
"REDMI 13c 5G (Starlight Black, 256 GB)","₹13,939",8 GB RAM | 256 GB ROM,17.12 cm (6.74 inch) Display,5000 mAh Battery,1 Year,4.4,"19,732","2,894"
LAVA A1 Josh BOL Keypad Mobile|1000 mAh Battery|Expandable Storage 32GB,₹930,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,4.5 cm (1.77 inch) Quarter QVGA Display,1 Year Manufacturer Replacement Guarantee for Phone and 6 months Replacement for Accessories in the Box,,4.4,"19,732","2,894"
"POCO X6 Neo 5G (Martian Orange, 128 GB)","₹15,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,Dimensity 6080 Processor,4.4,"19,732","2,894"
"OnePlus Nord CE4 (Celadon Marble, 128 GB)","₹24,389",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Display,5500 mAh Battery,OxygenOS 14.0 Processor,4.4,"19,732","2,894"
"OnePlus Nord CE4 (Dark Chrome, 128 GB)","₹24,255",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Display,5500 mAh Battery,OxygenOS 14.0 Processor,4.4,"19,732","2,894"
"Infinix HOT 40i (Starfall Green, 256 GB)","₹9,299",8 GB RAM | 256 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,Unisoc T606 Processor,4.4,"19,732","2,894"
"REDMI 13c 5G (Startrail Green, 256 GB)","₹13,552",8 GB RAM | 256 GB ROM,17.12 cm (6.74 inch) Display,5000 mAh Battery,1 Year,4.4,"19,732","2,894"
"realme C53 (Champion Black, 128 GB)","₹9,499",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.12 cm (6.74 inch) HD Display,5000 mAh Battery,T612 Processor,4.4,"19,732","2,894"
"SAMSUNG Galaxy M14 5G (Icy Silver, 128 GB)","₹12,108",6 GB RAM | 128 GB ROM,16.76 cm (6.6 inch) Display,6000 mAh Battery,1 year,4.4,"19,732","2,894"
"SAMSUNG Galaxy F14 5G (OMG Black, 128 GB)","₹9,490",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,6000 mAh Battery,"Exynos 1330, Octa Core Processor",4.4,"19,732","2,894"
"REDMI 13c 5G (Startrail Silver, 256 GB)","₹13,663",8 GB RAM | 256 GB ROM,17.12 cm (6.74 inch) Display,5000 mAh Battery,1 Year,4.4,"19,732","2,894"
"REDMI 13c 5G (Starlight Black, 128 GB)","₹10,787",4 GB RAM | 128 GB ROM,17.12 cm (6.74 inch) Display,5000 mAh Battery,1 Year,4.4,"19,732","2,894"
"SAMSUNG Galaxy F15 5G (Groovy Violet, 128 GB)","₹14,499",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,6000 mAh Lithium ion Battery,MediaTek Dimensity 6100+ Processor,4.4,"19,732","2,894"
"Motorola g54 5G (Mint Green, 128 GB)","₹14,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,6000 mAh Battery,Dimensity 7020 Processor,4.4,"19,732","2,894"
Nokia 105,"₹1,313",4 MB RAM | 4 MB ROM,4.57 cm (1.8 inch) Display,1000 mAh Battery,one year brand waranty,4.2,"17,671","1,600"
"IQOO Z6 Lite 5G (With Charger) (Stellar Green, 128 GB)","₹12,630",6 GB RAM | 128 GB ROM,16.97 cm (6.68 inch) Display,5000 mAh Battery,1 Year,4.2,"17,671","1,600"
"realme P1 5G (Peacock Green, 128 GB)","₹15,999",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,Dimensity 7050 Processor,4.2,"17,671","1,600"
"vivo T3x 5G (Celestial Green, 128 GB)","₹13,499",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.07 cm (6.72 inch) Full HD+ Display,6000 mAh Battery,6 Gen 1 Processor,4.2,"17,671","1,600"
"OnePlus 11R 5G (Sonic Black, 256 GB)","₹36,868",16 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Display,5000 mAh Battery,Domestic warranty of 12 months on phone & 6 months on accessries,4.2,"17,671","1,600"
Kechaoda A27,₹970,32 MB RAM | 32 MB ROM | Expandable Upto 16 GB,1.68 cm (0.66 inch) FWVGA+ Display,NO WARRANTY,,4.2,"17,671","1,600"
"realme P1 Pro 5G (Phoenix Red, 256 GB)","₹22,999",8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,6 Gen 1 Processor,4.2,"17,671","1,600"
"Nothing Phone (2a) 5G (White, 128 GB)","₹23,999",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,Dimensity 7200 Pro Processor,4.2,"17,671","1,600"
"OnePlus 11R 5G (Galactic Silver, 128 GB)","₹33,385",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Display,5000 mAh Battery,Domestic warranty of 12 months on phone & 6 months on accessories,4.2,"17,671","1,600"
"OnePlus 11R 5G (Galactic Silver, 256 GB)","₹36,798",16 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Display,5000 mAh Battery,Domestic warranty of 12 months on phone & 6 months on accessories,4.2,"17,671","1,600"
"SAMSUNG Galaxy S22 5G (Phantom Black, 128 GB)","₹36,999",8 GB RAM | 128 GB ROM,15.49 cm (6.1 inch) Full HD+ Display,3700 mAh Lithium-ion Battery,Snapdragon 8 Gen 1 Processor,4.2,"17,671","1,600"
Micromax J3,₹840,32 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) Display,1 Year Manufacturer Warranty on Product and 6 Month on Box Accessories,,4.2,"17,671","1,600"
"OnePlus Nord 3 5G (Tempest Gray, 128 GB)","₹23,186",8 GB RAM | 128 GB ROM,17.12 cm (6.74 inch) Full HD+ Display,5000 mAh Battery,Domestic 1 Year of Device & 6 Months for In-Box Accessories,4.2,"17,671","1,600"
"OnePlus Nord 3 5G (Misty Green, 128 GB)","₹23,990",8 GB RAM | 128 GB ROM,17.12 cm (6.74 inch) Display,5000 mAh Battery,Domestic 1 Year of Device & 6 Months for In-Box Accessories,4.2,"17,671","1,600"
"POCO X6 Neo 5G (Astral Black, 256 GB)","₹17,999",12 GB RAM | 256 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,Dimensity 6080 Processor,4.2,"17,671","1,600"
"REDMI Note 13 5G (Stealth Black, 256 GB)","₹19,046",8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Display,5000 mAh Battery,1 Year Brand Warranty,4.2,"17,671","1,600"
"REDMI Note 12 (Sunrise Gold, 128 GB)","₹12,499",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Full HD+ Super AMOLED Display,5000 mAh Battery,Snapdragon 685 Processor,4.2,"17,671","1,600"
"REDMI 12 5G (Pastel Blue, 128 GB)","₹12,550",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,5000 mAh Battery,Snapdragon 4 Gen 2 Processor,4.2,"17,671","1,600"
"REDMI Note 13 5G (Stealth Black, 128 GB)","₹16,807",6 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,1 Year Brand Warranty,4.2,"17,671","1,600"
"REDMI 12 5G (Pastel Blue, 256 GB)","₹14,702",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,5000 mAh Battery,Snapdragon 4 Gen 2 Processor,4.2,"17,671","1,600"
"REDMI 12 (Moonstone Silver, 128 GB)","₹9,499",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,5000 mAh Battery,Helio G88 Processor,4.2,"17,671","1,600"
"Samsung Galaxy S21 FE 5G with Snapdragon 888 (Olive, 128 GB)","₹29,999",8 GB RAM | 128 GB ROM,16.26 cm (6.4 inch) Full HD+ Display,4500 mAh Lithium-ion Battery,Snapdragon 888 Processor,4.2,"17,671","1,600"
SAMSUNG Metro 313 Dual Sim,"₹2,340",16 MB RAM | 2 MB ROM,5.08 cm (2 inch) Display,1000 mAh Battery,1 Year Manufacturer Warranty,4.2,"17,671","1,600"
LAVA A3 Vibe DS Keypad Mobile| 1750 mAh Battery|Expandable Storage 32GB,"₹1,147",32 MB ROM | Expandable Upto 32 GB,4.5 cm (1.77 inch) Display,1750 mAh Battery,1 year manufacturer Replacement for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,4.2,"17,671","1,600"
"realme C53 (Champion Gold, 128 GB)","₹8,999",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.12 cm (6.74 inch) HD Display,5000 mAh Battery,T612 Processor,4.1,"21,020","1,479"
Kechaoda A26,₹970,32 MB RAM | 32 MB ROM | Expandable Upto 16 GB,1.68 cm (0.66 inch) FWVGA Display,NO WARRANTY,,4.1,"21,020","1,479"
"realme P1 5G (Phoenix Red, 128 GB)","₹15,999",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,Dimensity 7050 Processor,4.1,"21,020","1,479"
"vivo T3x 5G (Crimson Bliss, 128 GB)","₹14,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.07 cm (6.72 inch) Full HD+ Display,6000 mAh Battery,6 Gen 1 Processor,4.1,"21,020","1,479"
"POCO C65 (Pastel Green, 256 GB)","₹8,999",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,5000 mAh Battery,Helio G85 Processor,4.1,"21,020","1,479"
"Infinix HOT 40i (Palm Blue, 256 GB)","₹9,299",8 GB RAM | 256 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,Unisoc T606 Processor,4.1,"21,020","1,479"
"Nothing Phone (2a) 5G (Black, 256 GB)","₹27,999",12 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,Dimensity 7200 Pro Processor,4.1,"21,020","1,479"
"Motorola G32 (Satin Silver, 128 GB)","₹9,999",8 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) Full HD+ Display,5000 mAh Lithium Polymer Battery,Qualcomm Snapdragon 680 Processor,4.1,"21,020","1,479"
"realme P1 Pro 5G (Phoenix Red, 256 GB)","₹22,999",8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,6 Gen 1 Processor,4.1,"21,020","1,479"
"Nothing Phone (2a) 5G (White, 128 GB)","₹23,999",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,Dimensity 7200 Pro Processor,4.1,"21,020","1,479"
