PhoneName,Price,RAM_ROM,Display,Battery,Processor,Stars,Ratings Count,Reviews Count
"Motorola g14 (Steel Gray, 128 GB)","₹8,499",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,5000 mAh Battery,T616 Processor,4.1,"21,020","1,479"
itel Magic X Pro 4G| 2500mAh Big Battery| Expandable Storage upto 64GB,"₹1,684",64 MB RAM | 128 MB ROM,6.1 cm (2.4 inch) Display,2500 mAh Battery,2 years warranty on mobile device & 6 months on accessories.,4.1,"21,020","1,479"
"realme Narzo 60x 5G (Stellar Green, 128 GB)","₹10,973",4 GB RAM | 128 GB ROM,17.07 cm (6.72 inch) Display,5000 mAh Battery,1 Year Brand Warranty,4.1,"21,020","1,479"
"Infinix Note 40 Pro 5G (Vintage Green, 256 GB)","₹21,999",8 GB RAM | 256 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,5000 mAh Battery,Mediatek Dimensity 7020 Processor,4.1,"21,020","1,479"
"REDMI 12 (Moonstone Silver, 128 GB)","₹9,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,5000 mAh Battery,Helio G88 Processor,4.1,"21,020","1,479"
"POCO M6 Pro 5G (Power Black, 128 GB)","₹9,999",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,5000 mAh Battery,Snapdragon 4 Gen 2 Processor,4.1,"21,020","1,479"
"realme 12x 5G (Woodland Green, 128 GB)","₹11,999",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.07 cm (6.72 inch) Full HD+ Display,5000 mAh Battery,Dimensity 6100+ Processor,4.1,"21,020","1,479"
"Nothing Phone (2a) 5G (Black, 256 GB)","₹25,999",8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,Dimensity 7200 Pro Processor,4.1,"21,020","1,479"
"REDMI 12 5G (Moonstone Silver, 128 GB)","₹11,999",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,5000 mAh Battery,Snapdragon 4 Gen 2 Processor,4.1,"21,020","1,479"
"Nothing Phone (2a) 5G (White, 256 GB)","₹25,999",8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,Dimensity 7200 Pro Processor,4.1,"21,020","1,479"
"REDMI 13c 5G (Starlight Black, 128 GB)","₹11,809",6 GB RAM | 128 GB ROM,17.12 cm (6.74 inch) Display,5000 mAh Battery,1 Year,4.1,"21,020","1,479"
"realme Narzo N55 (Prime Blue, 64 GB)","₹9,990",4 GB RAM | 64 GB ROM,17.07 cm (6.72 inch) Display,5000 mAh Battery,1 Year Domestic Warranty for Phone and 6 Months Warranty for In-Box Accessories,4.1,"21,020","1,479"
"Nothing Phone (2a) 5G (Black, 128 GB)","₹23,999",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,Dimensity 7200 Pro Processor,4.1,"21,020","1,479"
"POCO M6 5G (Polaris Green, 128 GB)","₹9,299",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,5000 mAh Battery,Mediatek Dimensity 6100+ Processor,4.1,"21,020","1,479"
"realme C53 (Champion Black, 128 GB)","₹8,999",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.12 cm (6.74 inch) HD Display,5000 mAh Battery,T612 Processor,4.1,"21,020","1,479"
Kechaoda K112,"₹1,590",32 MB RAM | 64 MB ROM | Expandable Upto 32 GB,6.1 cm (2.4 inch) QVGA Display,3600 mAh Battery,No Processor,4.1,"21,020","1,479"
"realme Narzo N55 (Prime Black, 128 GB)","₹9,474",6 GB RAM | 128 GB ROM,17.07 cm (6.72 inch) Display,5000 mAh Battery,1 Year Domestic Warranty for Phone and 6 Months Warranty for In-Box Accessories,4.1,"21,020","1,479"
"IQOO Z6 Lite 5G (With Charger) (Stellar Green, 128 GB)","₹12,630",6 GB RAM | 128 GB ROM,16.97 cm (6.68 inch) Display,5000 mAh Battery,1 Year,4.1,"21,020","1,479"
"realme P1 5G (Phoenix Red, 128 GB)","₹15,999",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,Dimensity 7050 Processor,4.1,"21,020","1,479"
"vivo T3x 5G (Crimson Bliss, 128 GB)","₹14,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.07 cm (6.72 inch) Full HD+ Display,6000 mAh Battery,6 Gen 1 Processor,4.1,"21,020","1,479"
Jio V2 Keypad Phone (UPI) Locked,"₹1,160",20 MB RAM | 20 MB ROM,4.5 cm (1.77 inch) Display,1000 mAh Battery,1 Year Manufacturer Warranty,4.1,"21,020","1,479"
itel Ace2 Keypad Mobile| 1000 mAh Battery|Expandable Storage 32GB,₹849,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,4.57 cm (1.8 inch) Quarter QVGA Display,1000 mAh Lithium Ion Battery,Spreadtrum Processor,4.1,"21,020","1,479"
"realme P1 Pro 5G (Phoenix Red, 256 GB)","₹22,999",8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,6 Gen 1 Processor,4.1,"21,020","1,479"
"Nothing Phone (2a) 5G (White, 128 GB)","₹23,999",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,Dimensity 7200 Pro Processor,4.1,"21,020","1,479"
"realme Narzo 60 5G (Cosmic Black, 128 GB)","₹15,414",8 GB RAM | 128 GB ROM,16.33 cm (6.43 inch) Display,5000 mAh Battery,Domestic 1 Year of Device & 6 Months for In-Box Accessories,4.1,"21,020","1,479"
"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","₹1,285",32 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) QVGA Display,800 mAh Lithium Ion Battery,SC6531E Processor,4.1,"21,020","1,479"
Kechaoda K10,₹955,32 MB RAM | 32 MB ROM | Expandable Upto 8 GB,1.68 cm (0.66 inch) QVGA Display,300 mAh Battery,Feature Phone Processor,4.1,"21,020","1,479"
itel Magic X Pro 4G| 2500mAh Big Battery| Expandable Storage upto 64GB,"₹1,682",64 MB RAM | 128 MB ROM,6.1 cm (2.4 inch) Display,2500 mAh Battery,2 Years Manufacturer Warranty on Device and 6 Months on Accessories,4.1,"21,020","1,479"
"REDMI 13c 5G (Startrail Silver, 128 GB)","₹10,527",4 GB RAM | 128 GB ROM,17.12 cm (6.74 inch) Display,5000 mAh Battery,1 Year,4.1,"21,020","1,479"
"POCO M6 5G (Galactic Black, 128 GB)","₹10,499",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,5000 mAh Battery,Mediatek Dimensity 6100+ Processor,4.1,"21,020","1,479"
Nokia 105 Classic with Charger,"₹1,099",32 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) Display,800 mAh Battery,SC6531E Processor,4.1,"21,020","1,479"
"realme Narzo 60 5G (Mars Orange, 128 GB)","₹15,364",8 GB RAM | 128 GB ROM,16.33 cm (6.43 inch) Display,5000 mAh Battery,Domestic 1 Year of Device & 6 Months for In-Box Accessories,4.1,"21,020","1,479"
"POCO X6 Neo 5G (Astral Black, 256 GB)","₹17,999",12 GB RAM | 256 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,Dimensity 6080 Processor,4.1,"21,020","1,479"
Nokia TA-1174 / TA-1299,"₹1,149",4 MB RAM | 4 MB ROM,4.57 cm (1.8 inch) Display,No care warranty,,4.1,"21,020","1,479"
"Motorola Edge 50 Pro 5G with 68W Charger (Luxe Lavender, 256 GB)","₹31,999",8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Display,4500 mAh Battery,7 Gen 3 Mobile Platform Processor,4.1,"21,020","1,479"
"Nokia 5310 DS Keypad Mobile, FM Radio,Camera with Flash (8MB RAM)","₹3,633",8 MB RAM | 16 MB ROM | Expandable Upto 32 GB,6.1 cm (2.4 inch) Display,1200 mAh Lithium-ion Battery,MT6260A Processor,4.1,"21,020","1,479"
"Motorola g14 (Sky Blue, 128 GB)","₹8,499",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,5000 mAh Battery,T616 Processor,4.1,"21,020","1,479"
"Infinix HOT 40i (Starlit Black, 256 GB)","₹9,299",8 GB RAM | 256 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,Unisoc T606 Processor,4.1,"21,020","1,479"
"Nothing Phone (2a) 5G (White, 128 GB)","₹23,999",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,Dimensity 7200 Pro Processor,4.4,"19,732","2,894"
"Infinix Note 30 5G (Interstellar Blue, 256 GB)","₹15,499",8 GB RAM | 256 GB ROM | Expandable Upto 2 TB,17.22 cm (6.78 inch) Full HD+ Display,5000 mAh Li-ion Polymer Battery,Dimensity 6080 Processor,4.4,"19,732","2,894"
"POCO X6 Pro 5G (Racing Grey, 512 GB)","₹27,499",12 GB RAM | 512 GB ROM,16.94 cm (6.67 inch) Display,5000 mAh Battery,Dimensity D8300 Ultra Processor,4.4,"19,732","2,894"
"REDMI A3 (Midnight Black, 64 GB)","₹9,999",3 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.04 cm (6.71 inch) HD+ Display,5000 mAh Battery,Mediatek Helio G36 Processor,4.4,"19,732","2,894"
"SAMSUNG Galaxy F14 5G (OMG Black, 128 GB)","₹9,490",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,6000 mAh Battery,"Exynos 1330, Octa Core Processor",4.4,"19,732","2,894"
"realme Narzo N53 (Feather Black, 64 GB)","₹7,875",4 GB RAM | 64 GB ROM,17.12 cm (6.74 inch) Full HD Display,5000 mAh Battery,Domestic 1 Year on Handset and 6 Months on Accessories,4.4,"19,732","2,894"
"itel P40 Plus,Upto 8GB RAM|13MP Rear Camera|7000mAh Battery with 18W Fast Charging (Force Black, 128 G...","₹6,695",4 GB RAM | 128 GB ROM,17.27 cm (6.8 inch) Display,7000 mAh Battery,Domestic Warranty 1 Year For Handset And 6 Months For Accessories.,4.4,"19,732","2,894"
"realme 12 Pro 5G (Navigator Beige, 128 GB)","₹24,999",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,Snapdragon 6 Gen 1 Processor,4.4,"19,732","2,894"
Nokia 105,"₹1,313",4 MB RAM | 4 MB ROM,4.57 cm (1.8 inch) Display,1000 mAh Battery,one year brand waranty,4.4,"19,732","2,894"
"IQOO Z6 Lite 5G (With Charger) (Stellar Green, 128 GB)","₹12,630",6 GB RAM | 128 GB ROM,16.97 cm (6.68 inch) Display,5000 mAh Battery,1 Year,4.4,"19,732","2,894"
"Infinix Note 30 5G (Sunset Gold, 256 GB)","₹15,499",8 GB RAM | 256 GB ROM | Expandable Upto 2 TB,17.22 cm (6.78 inch) Full HD+ Display,5000 mAh Li-ion Polymer Battery,Dimensity 6080 Processor,4.4,"19,732","2,894"
"realme 12 Pro 5G (Submarine Blue, 256 GB)","₹26,999",12 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,Snapdragon 6 Gen 1 Processor,4.4,"19,732","2,894"
"Infinix Note 30 5G (Magic Black, 256 GB)","₹15,499",8 GB RAM | 256 GB ROM | Expandable Upto 2 TB,17.22 cm (6.78 inch) Full HD+ Display,5000 mAh Li-ion Polymer Battery,Dimensity 6080 Processor,4.4,"19,732","2,894"
"SAMSUNG Galaxy S22 5G (Phantom Black, 128 GB)","₹36,999",8 GB RAM | 128 GB ROM,15.49 cm (6.1 inch) Full HD+ Display,3700 mAh Lithium-ion Battery,Snapdragon 8 Gen 1 Processor,4.4,"19,732","2,894"
"OnePlus 11R 5G (Sonic Black, 128 GB)","₹32,790",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Display,5000 mAh Battery,Domestic warranty of 12 months on phone & 6 months on accessories,4.4,"19,732","2,894"
Kechaoda A27,₹970,32 MB RAM | 32 MB ROM | Expandable Upto 16 GB,1.68 cm (0.66 inch) FWVGA+ Display,NO WARRANTY,,4.4,"19,732","2,894"
"OnePlus 11R 5G (Galactic Silver, 128 GB)","₹32,780",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Display,5000 mAh Battery,Domestic warranty of 12 months on phone & 6 months on accessories,4.4,"19,732","2,894"
"Motorola Edge 50 Pro 5G with 68W Charger (Luxe Lavender, 256 GB)","₹31,999",8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Display,4500 mAh Battery,7 Gen 3 Mobile Platform Processor,4.4,"19,732","2,894"
"realme 12 Pro 5G (Navigator Beige, 256 GB)","₹26,999",8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,Snapdragon 6 Gen 1 Processor,4.4,"19,732","2,894"
"OnePlus Nord 3 5G (Tempest Gray, 128 GB)","₹23,180",8 GB RAM | 128 GB ROM,17.12 cm (6.74 inch) Full HD+ Display,5000 mAh Battery,Domestic 1 Year of Device & 6 Months for In-Box Accessories,4.4,"19,732","2,894"
"OnePlus Nord 3 5G (Misty Green, 128 GB)","₹23,354",8 GB RAM | 128 GB ROM,17.12 cm (6.74 inch) Display,5000 mAh Battery,Domestic 1 Year of Device & 6 Months for In-Box Accessories,4.4,"19,732","2,894"
"POCO X6 Neo 5G (Astral Black, 256 GB)","₹17,999",12 GB RAM | 256 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,Dimensity 6080 Processor,4.4,"19,732","2,894"
Micromax J3,₹840,32 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) Display,1 Year Manufacturer Warranty on Product and 6 Month on Box Accessories,,4.4,"19,732","2,894"
"REDMI Note 12 (Sunrise Gold, 128 GB)","₹12,499",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Full HD+ Super AMOLED Display,5000 mAh Battery,Snapdragon 685 Processor,4.4,"19,732","2,894"
"realme P1 5G (Phoenix Red, 128 GB)","₹15,999",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,Dimensity 7050 Processor,4.4,583,76
"vivo T3x 5G (Celestial Green, 128 GB)","₹13,499",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.07 cm (6.72 inch) Full HD+ Display,6000 mAh Battery,6 Gen 1 Processor,4.4,583,76
"SAMSUNG Galaxy S22 5G (Phantom Black, 128 GB)","₹36,999",8 GB RAM | 128 GB ROM,15.49 cm (6.1 inch) Full HD+ Display,3700 mAh Lithium-ion Battery,Snapdragon 8 Gen 1 Processor,4.4,583,76
"Motorola Edge 50 Pro 5G with 68W Charger (Luxe Lavender, 256 GB)","₹31,999",8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Display,4500 mAh Battery,7 Gen 3 Mobile Platform Processor,4.4,583,76
"OnePlus 11R 5G (Sonic Black, 128 GB)","₹32,790",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Display,5000 mAh Battery,Domestic warranty of 12 months on phone & 6 months on accessories,4.4,583,76
"OnePlus 11R 5G (Galactic Silver, 128 GB)","₹32,780",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Display,5000 mAh Battery,Domestic warranty of 12 months on phone & 6 months on accessories,4.4,583,76
"realme P1 Pro 5G (Phoenix Red, 256 GB)","₹22,999",8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,6 Gen 1 Processor,4.4,583,76
"Nothing Phone (2a) 5G (White, 128 GB)","₹23,999",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,Dimensity 7200 Pro Processor,4.4,583,76
Kechaoda A27,₹970,32 MB RAM | 32 MB ROM | Expandable Upto 16 GB,1.68 cm (0.66 inch) FWVGA+ Display,NO WARRANTY,,4.4,583,76
"realme 12 Pro 5G (Navigator Beige, 256 GB)","₹26,999",8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,Snapdragon 6 Gen 1 Processor,4.4,583,76
"OnePlus Nord 3 5G (Tempest Gray, 128 GB)","₹23,180",8 GB RAM | 128 GB ROM,17.12 cm (6.74 inch) Full HD+ Display,5000 mAh Battery,Domestic 1 Year of Device & 6 Months for In-Box Accessories,4.4,583,76
"OnePlus Nord 3 5G (Misty Green, 128 GB)","₹23,354",8 GB RAM | 128 GB ROM,17.12 cm (6.74 inch) Display,5000 mAh Battery,Domestic 1 Year of Device & 6 Months for In-Box Accessories,4.4,583,76
"POCO X6 Neo 5G (Astral Black, 256 GB)","₹17,999",12 GB RAM | 256 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,Dimensity 6080 Processor,4.4,583,76
Micromax J3,₹840,32 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) Display,1 Year Manufacturer Warranty on Product and 6 Month on Box Accessories,,4.4,583,76
"REDMI Note 12 (Sunrise Gold, 128 GB)","₹12,499",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Full HD+ Super AMOLED Display,5000 mAh Battery,Snapdragon 685 Processor,4.4,583,76
"REDMI Note 13 5G (Stealth Black, 256 GB)","₹19,046",8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Display,5000 mAh Battery,1 Year Brand Warranty,4.4,583,76
"POCO X6 Neo 5G (Martian Orange, 256 GB)","₹17,999",12 GB RAM | 256 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,Dimensity 6080 Processor,4.4,583,76
Kechaoda A26,₹939,32 MB RAM | 32 MB ROM | Expandable Upto 16 GB,1.68 cm (0.66 inch) QVGA Display,800 mAh Battery,NA Processor,4.4,583,76
"realme 12 Pro 5G (Submarine Blue, 256 GB)","₹26,999",8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,Snapdragon 6 Gen 1 Processor,4.4,583,76
"realme 12 Pro 5G (Submarine Blue, 128 GB)","₹24,999",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,Snapdragon 6 Gen 1 Processor,4.4,583,76
Kechaoda A26,₹968,32 MB RAM | 32 MB ROM | Expandable Upto 16 GB,1.68 cm (0.66 inch) Display,NO WARRANTY,,4.4,583,76
"realme 12+ 5G (Pioneer Green, 256 GB)","₹21,999",8 GB RAM | 256 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,Dimensity 7050 Processor,4.4,583,76
"REDMI 12 5G (Pastel Blue, 256 GB)","₹14,702",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,5000 mAh Battery,Snapdragon 4 Gen 2 Processor,4.4,583,76
"REDMI 12 (Moonstone Silver, 128 GB)","₹9,499",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,5000 mAh Battery,Helio G88 Processor,4.4,583,76
"REDMI 12 5G (Jade Black, 128 GB)","₹12,992",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,5000 mAh Battery,Snapdragon 4 Gen 2 Processor,4.3,"17,864","1,162"
Nokia 105,"₹1,313",4 MB RAM | 4 MB ROM,4.57 cm (1.8 inch) Display,1000 mAh Battery,one year brand waranty,4.3,"17,864","1,162"
"realme P1 5G (Phoenix Red, 128 GB)","₹15,999",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,Dimensity 7050 Processor,4.3,"17,864","1,162"
"vivo T3x 5G (Crimson Bliss, 128 GB)","₹14,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.07 cm (6.72 inch) Full HD+ Display,6000 mAh Battery,6 Gen 1 Processor,4.3,"17,864","1,162"
